[Step4] SAVE_ROOT=/scratch-shared/tc1proj005/folds FOLDS=[3] MODELS=['llama'] SAVE_LASTTOK=False TOPK=0
[Step4] Loaded data/fold_data/fold_3_train.csv rows=203657 cols=17
[Step4] Loaded data/fold_data/fold_3_val.csv rows=11495 cols=9
[Step4] Loading llama fold 3 from LoRA /scratch-shared/tc1proj005/folds/llama_fold_3_lora + base /scratch-shared/tc1proj005/post_pretrain_llama3-8b_merged
[Step4][Info] Tokenizer source for llama fold 3: /scratch-shared/tc1proj005/folds/llama_fold_3_lora
[Step4][Info] Accelerate device_map detected; skipping explicit model.to().
[Step4][Subset] llama fold 3: sampled 19690/203657 rows (seed offset).
[Step4] Using batched loglik batch_size=8 progress_every=5
[Step4][Progress] RespA fold batch 8/19690 (9.61 ex/s) elapsed=0.0m
[Step4][Progress] RespA fold batch 48/19690 (5.19 ex/s) elapsed=0.2m
[Step4][Progress] RespA fold batch 88/19690 (4.43 ex/s) elapsed=0.3m
[Step4][Progress] RespA fold batch 128/19690 (4.74 ex/s) elapsed=0.4m
[Step4][Progress] RespA fold batch 168/19690 (4.66 ex/s) elapsed=0.6m
[Step4][Progress] RespA fold batch 208/19690 (5.04 ex/s) elapsed=0.7m
[Step4][Progress] RespA fold batch 248/19690 (5.00 ex/s) elapsed=0.8m
[Step4][Progress] RespA fold batch 288/19690 (5.14 ex/s) elapsed=0.9m
[Step4][Progress] RespA fold batch 328/19690 (4.92 ex/s) elapsed=1.1m
[Step4][Progress] RespA fold batch 368/19690 (5.00 ex/s) elapsed=1.2m
[Step4][Progress] RespA fold batch 408/19690 (5.04 ex/s) elapsed=1.3m
[Step4][Progress] RespA fold batch 448/19690 (5.09 ex/s) elapsed=1.5m
[Step4][Progress] RespA fold batch 488/19690 (5.16 ex/s) elapsed=1.6m
[Step4][Progress] RespA fold batch 528/19690 (5.19 ex/s) elapsed=1.7m
[Step4][Progress] RespA fold batch 568/19690 (5.29 ex/s) elapsed=1.8m
[Step4][Progress] RespA fold batch 608/19690 (5.27 ex/s) elapsed=1.9m
[Step4][Progress] RespA fold batch 648/19690 (5.26 ex/s) elapsed=2.1m
[Step4][Progress] RespA fold batch 688/19690 (5.25 ex/s) elapsed=2.2m
[Step4][Progress] RespA fold batch 728/19690 (5.32 ex/s) elapsed=2.3m
[Step4][Progress] RespA fold batch 768/19690 (5.30 ex/s) elapsed=2.4m
[Step4][Progress] RespA fold batch 808/19690 (5.21 ex/s) elapsed=2.6m
[Step4][Progress] RespA fold batch 848/19690 (5.20 ex/s) elapsed=2.7m
[Step4][Progress] RespA fold batch 888/19690 (5.16 ex/s) elapsed=2.9m
[Step4][Progress] RespA fold batch 928/19690 (5.13 ex/s) elapsed=3.0m
[Step4][Progress] RespA fold batch 968/19690 (5.15 ex/s) elapsed=3.1m
[Step4][Progress] RespA fold batch 1008/19690 (5.17 ex/s) elapsed=3.2m
[Step4][Progress] RespA fold batch 1048/19690 (5.15 ex/s) elapsed=3.4m
[Step4][Progress] RespA fold batch 1088/19690 (5.11 ex/s) elapsed=3.5m
[Step4][Progress] RespA fold batch 1128/19690 (5.13 ex/s) elapsed=3.7m
[Step4][Progress] RespA fold batch 1168/19690 (5.13 ex/s) elapsed=3.8m
[Step4][Progress] RespA fold batch 1208/19690 (5.14 ex/s) elapsed=3.9m
[Step4][Progress] RespA fold batch 1248/19690 (5.14 ex/s) elapsed=4.0m
[Step4][Progress] RespA fold batch 1288/19690 (5.16 ex/s) elapsed=4.2m
[Step4][Progress] RespA fold batch 1328/19690 (5.14 ex/s) elapsed=4.3m
[Step4][Progress] RespA fold batch 1368/19690 (5.17 ex/s) elapsed=4.4m
[Step4][Progress] RespA fold batch 1408/19690 (5.21 ex/s) elapsed=4.5m
[Step4][Progress] RespA fold batch 1448/19690 (5.22 ex/s) elapsed=4.6m
[Step4][Progress] RespA fold batch 1488/19690 (5.20 ex/s) elapsed=4.8m
[Step4][Progress] RespA fold batch 1528/19690 (5.22 ex/s) elapsed=4.9m
[Step4][Progress] RespA fold batch 1568/19690 (5.21 ex/s) elapsed=5.0m
[Step4][Progress] RespA fold batch 1608/19690 (5.25 ex/s) elapsed=5.1m
