{'loss': 1.1328, 'grad_norm': 1.7529956102371216, 'learning_rate': 1.5702479338842977e-06, 'epoch': 0.0}
{'loss': 1.1214, 'grad_norm': 2.6260321140289307, 'learning_rate': 3.2231404958677685e-06, 'epoch': 0.01}
{'loss': 1.0962, 'grad_norm': 2.5650317668914795, 'learning_rate': 4.87603305785124e-06, 'epoch': 0.01}
{'loss': 1.0309, 'grad_norm': 2.6505801677703857, 'learning_rate': 6.528925619834711e-06, 'epoch': 0.02}
{'loss': 1.032, 'grad_norm': 1.7581753730773926, 'learning_rate': 8.181818181818183e-06, 'epoch': 0.02}
{'loss': 0.9952, 'grad_norm': 2.230461359024048, 'learning_rate': 9.834710743801654e-06, 'epoch': 0.02}
{'loss': 0.9722, 'grad_norm': 1.4940134286880493, 'learning_rate': 1.1487603305785125e-05, 'epoch': 0.03}
{'loss': 1.0091, 'grad_norm': 3.7471885681152344, 'learning_rate': 1.3140495867768595e-05, 'epoch': 0.03}
{'loss': 0.9731, 'grad_norm': 1.473765254020691, 'learning_rate': 1.4793388429752068e-05, 'epoch': 0.04}
{'loss': 1.0012, 'grad_norm': 0.907048225402832, 'learning_rate': 1.6446280991735537e-05, 'epoch': 0.04}
{'loss': 0.9627, 'grad_norm': 1.1929407119750977, 'learning_rate': 1.8099173553719008e-05, 'epoch': 0.04}
{'loss': 0.9588, 'grad_norm': 1.0185846090316772, 'learning_rate': 1.9752066115702482e-05, 'epoch': 0.05}
{'loss': 1.004, 'grad_norm': 1.6746680736541748, 'learning_rate': 2.1404958677685953e-05, 'epoch': 0.05}
{'loss': 0.9646, 'grad_norm': 1.7482061386108398, 'learning_rate': 2.3057851239669423e-05, 'epoch': 0.06}
{'loss': 1.0149, 'grad_norm': 1.5800162553787231, 'learning_rate': 2.4710743801652894e-05, 'epoch': 0.06}
{'loss': 0.9611, 'grad_norm': 1.5870760679244995, 'learning_rate': 2.636363636363636e-05, 'epoch': 0.06}
{'loss': 0.967, 'grad_norm': 2.098320484161377, 'learning_rate': 2.8016528925619832e-05, 'epoch': 0.07}
{'loss': 0.998, 'grad_norm': 2.049342632293701, 'learning_rate': 2.9669421487603307e-05, 'epoch': 0.07}
{'loss': 0.9403, 'grad_norm': 1.773142695426941, 'learning_rate': 3.1322314049586774e-05, 'epoch': 0.08}
{'loss': 0.991, 'grad_norm': 1.480090856552124, 'learning_rate': 3.297520661157025e-05, 'epoch': 0.08}
{'loss': 0.9651, 'grad_norm': 2.029402494430542, 'learning_rate': 3.4628099173553716e-05, 'epoch': 0.08}
{'loss': 0.9745, 'grad_norm': 2.060295581817627, 'learning_rate': 3.628099173553719e-05, 'epoch': 0.09}
{'loss': 0.9919, 'grad_norm': 0.9805296063423157, 'learning_rate': 3.7933884297520664e-05, 'epoch': 0.09}
{'loss': 0.9622, 'grad_norm': 2.398643970489502, 'learning_rate': 3.958677685950413e-05, 'epoch': 0.1}
{'loss': 0.9734, 'grad_norm': 1.2107373476028442, 'learning_rate': 4.1239669421487606e-05, 'epoch': 0.1}
{'loss': 0.954, 'grad_norm': 1.51004159450531, 'learning_rate': 4.289256198347107e-05, 'epoch': 0.1}
{'loss': 0.9689, 'grad_norm': 1.0966840982437134, 'learning_rate': 4.454545454545455e-05, 'epoch': 0.11}
{'loss': 1.0143, 'grad_norm': 1.4413840770721436, 'learning_rate': 4.6198347107438014e-05, 'epoch': 0.11}
{'loss': 0.9779, 'grad_norm': 0.9423174858093262, 'learning_rate': 4.785123966942149e-05, 'epoch': 0.12}
{'loss': 0.9901, 'grad_norm': 1.2793315649032593, 'learning_rate': 4.9504132231404956e-05, 'epoch': 0.12}
{'loss': 0.964, 'grad_norm': 1.0671665668487549, 'learning_rate': 4.9926121372031663e-05, 'epoch': 0.12}
{'loss': 0.9658, 'grad_norm': 1.0172631740570068, 'learning_rate': 4.982058047493404e-05, 'epoch': 0.13}
{'loss': 0.9786, 'grad_norm': 1.3225839138031006, 'learning_rate': 4.971503957783641e-05, 'epoch': 0.13}
{'loss': 0.9605, 'grad_norm': 2.1344120502471924, 'learning_rate': 4.9609498680738785e-05, 'epoch': 0.13}
{'loss': 0.9858, 'grad_norm': 0.5618820786476135, 'learning_rate': 4.9503957783641166e-05, 'epoch': 0.14}
{'loss': 0.9577, 'grad_norm': 1.2310726642608643, 'learning_rate': 4.939841688654353e-05, 'epoch': 0.14}
{'loss': 0.9575, 'grad_norm': 0.838287353515625, 'learning_rate': 4.929287598944591e-05, 'epoch': 0.15}
{'loss': 1.0015, 'grad_norm': 1.4654353857040405, 'learning_rate': 4.918733509234829e-05, 'epoch': 0.15}
{'loss': 0.9613, 'grad_norm': 1.1064811944961548, 'learning_rate': 4.908179419525066e-05, 'epoch': 0.15}
{'loss': 0.9763, 'grad_norm': 0.6783248782157898, 'learning_rate': 4.8976253298153035e-05, 'epoch': 0.16}
{'loss': 0.9467, 'grad_norm': 2.0917270183563232, 'learning_rate': 4.8870712401055415e-05, 'epoch': 0.16}
{'loss': 0.9554, 'grad_norm': 0.9952903389930725, 'learning_rate': 4.876517150395778e-05, 'epoch': 0.17}
{'loss': 1.0023, 'grad_norm': 1.399158000946045, 'learning_rate': 4.865963060686016e-05, 'epoch': 0.17}
{'loss': 0.986, 'grad_norm': 1.6620839834213257, 'learning_rate': 4.855408970976254e-05, 'epoch': 0.17}
{'loss': 1.0404, 'grad_norm': 1.4711568355560303, 'learning_rate': 4.844854881266491e-05, 'epoch': 0.18}
{'loss': 0.9837, 'grad_norm': 1.4700517654418945, 'learning_rate': 4.8343007915567285e-05, 'epoch': 0.18}
{'loss': 0.9799, 'grad_norm': 1.471563696861267, 'learning_rate': 4.8237467018469665e-05, 'epoch': 0.19}
{'loss': 1.004, 'grad_norm': 1.3908522129058838, 'learning_rate': 4.813192612137203e-05, 'epoch': 0.19}
{'loss': 0.973, 'grad_norm': 1.2166134119033813, 'learning_rate': 4.8026385224274406e-05, 'epoch': 0.19}
