[Step4] SAVE_ROOT=/scratch-shared/tc1proj005/folds FOLDS=[4] MODELS=['llama'] SAVE_LASTTOK=False TOPK=0
[Step4] Loaded data/fold_data/fold_4_train.csv rows=203657 cols=17
[Step4] Loaded data/fold_data/fold_4_val.csv rows=11495 cols=9
[Step4] Loading llama fold 4 from LoRA /scratch-shared/tc1proj005/folds/llama_fold_4_lora + base /scratch-shared/tc1proj005/post_pretrain_llama3-8b_merged
[Step4][Info] Tokenizer source for llama fold 4: /scratch-shared/tc1proj005/folds/llama_fold_4_lora
[Step4][Info] Accelerate device_map detected; skipping explicit model.to().
[Step4][Subset] llama fold 4: sampled 15365/203657 rows (seed offset).
[Step4] Using batched loglik batch_size=8 progress_every=5
[Step4][Progress] RespA fold batch 8/15365 (10.73 ex/s) elapsed=0.0m
[Step4][Progress] RespA fold batch 48/15365 (5.07 ex/s) elapsed=0.2m
[Step4][Progress] RespA fold batch 88/15365 (5.72 ex/s) elapsed=0.3m
[Step4][Progress] RespA fold batch 128/15365 (5.40 ex/s) elapsed=0.4m
[Step4][Progress] RespA fold batch 168/15365 (5.01 ex/s) elapsed=0.6m
[Step4][Progress] RespA fold batch 208/15365 (5.21 ex/s) elapsed=0.7m
[Step4][Progress] RespA fold batch 248/15365 (5.27 ex/s) elapsed=0.8m
[Step4][Progress] RespA fold batch 288/15365 (5.17 ex/s) elapsed=0.9m
[Step4][Progress] RespA fold batch 328/15365 (5.25 ex/s) elapsed=1.0m
[Step4][Progress] RespA fold batch 368/15365 (5.36 ex/s) elapsed=1.1m
[Step4][Progress] RespA fold batch 408/15365 (5.40 ex/s) elapsed=1.3m
[Step4][Progress] RespA fold batch 448/15365 (5.48 ex/s) elapsed=1.4m
[Step4][Progress] RespA fold batch 488/15365 (5.36 ex/s) elapsed=1.5m
[Step4][Progress] RespA fold batch 528/15365 (5.43 ex/s) elapsed=1.6m
[Step4][Progress] RespA fold batch 568/15365 (5.48 ex/s) elapsed=1.7m
[Step4][Progress] RespA fold batch 608/15365 (5.46 ex/s) elapsed=1.9m
[Step4][Progress] RespA fold batch 648/15365 (5.47 ex/s) elapsed=2.0m
[Step4][Progress] RespA fold batch 688/15365 (5.49 ex/s) elapsed=2.1m
[Step4][Progress] RespA fold batch 728/15365 (5.44 ex/s) elapsed=2.2m
[Step4][Progress] RespA fold batch 768/15365 (5.50 ex/s) elapsed=2.3m
[Step4][Progress] RespA fold batch 808/15365 (5.50 ex/s) elapsed=2.4m
[Step4][Progress] RespA fold batch 848/15365 (5.47 ex/s) elapsed=2.6m
[Step4][Progress] RespA fold batch 888/15365 (5.45 ex/s) elapsed=2.7m
[Step4][Progress] RespA fold batch 928/15365 (5.41 ex/s) elapsed=2.9m
