[Step5] Distilling fold 0 using LLaMA-only OOF probs
{'loss': 4.8576, 'grad_norm': 30.47848892211914, 'learning_rate': 1.4499266324284665e-05, 'epoch': 1.63}
{'loss': 3.9146, 'grad_norm': 21.423341751098633, 'learning_rate': 1.4315847395451212e-05, 'epoch': 1.64}
{'loss': 4.7952, 'grad_norm': 27.664560317993164, 'learning_rate': 1.4132428466617756e-05, 'epoch': 1.65}
{'loss': 4.1452, 'grad_norm': 41.80085754394531, 'learning_rate': 1.3949009537784299e-05, 'epoch': 1.65}
{'loss': 4.1655, 'grad_norm': 45.5602912902832, 'learning_rate': 1.3765590608950846e-05, 'epoch': 1.66}
{'loss': 4.7989, 'grad_norm': 25.82974624633789, 'learning_rate': 1.358217168011739e-05, 'epoch': 1.67}
{'loss': 3.6792, 'grad_norm': 19.759477615356445, 'learning_rate': 1.3398752751283933e-05, 'epoch': 1.68}
{'loss': 4.671, 'grad_norm': 44.20382308959961, 'learning_rate': 1.3215333822450476e-05, 'epoch': 1.69}
{'loss': 4.117, 'grad_norm': 20.40230369567871, 'learning_rate': 1.3031914893617023e-05, 'epoch': 1.69}
{'loss': 4.4044, 'grad_norm': 29.867507934570312, 'learning_rate': 1.2848495964783567e-05, 'epoch': 1.7}
{'loss': 4.9064, 'grad_norm': 28.387685775756836, 'learning_rate': 1.266507703595011e-05, 'epoch': 1.71}
{'loss': 3.9546, 'grad_norm': 66.14097595214844, 'learning_rate': 1.2481658107116655e-05, 'epoch': 1.72}
{'loss': 4.7955, 'grad_norm': 37.37278366088867, 'learning_rate': 1.22982391782832e-05, 'epoch': 1.72}
{'loss': 4.034, 'grad_norm': 51.97481155395508, 'learning_rate': 1.2114820249449744e-05, 'epoch': 1.73}
{'loss': 4.4928, 'grad_norm': 49.00577163696289, 'learning_rate': 1.1931401320616289e-05, 'epoch': 1.74}
{'loss': 4.7048, 'grad_norm': 29.06151008605957, 'learning_rate': 1.1747982391782832e-05, 'epoch': 1.75}
{'loss': 4.1242, 'grad_norm': 53.2068977355957, 'learning_rate': 1.1564563462949376e-05, 'epoch': 1.76}
{'loss': 4.7925, 'grad_norm': 33.70920181274414, 'learning_rate': 1.1381144534115921e-05, 'epoch': 1.76}
{'loss': 4.1779, 'grad_norm': 26.38387107849121, 'learning_rate': 1.1197725605282464e-05, 'epoch': 1.77}
{'loss': 4.1701, 'grad_norm': 36.19256591796875, 'learning_rate': 1.101430667644901e-05, 'epoch': 1.78}
{'loss': 4.7282, 'grad_norm': 36.65163803100586, 'learning_rate': 1.0830887747615555e-05, 'epoch': 1.79}
{'loss': 3.872, 'grad_norm': 42.916683197021484, 'learning_rate': 1.0647468818782098e-05, 'epoch': 1.79}
{'loss': 4.6975, 'grad_norm': 27.63286018371582, 'learning_rate': 1.0464049889948643e-05, 'epoch': 1.8}
{'loss': 4.4319, 'grad_norm': 35.1551399230957, 'learning_rate': 1.0280630961115188e-05, 'epoch': 1.81}
{'loss': 4.1039, 'grad_norm': 44.469444274902344, 'learning_rate': 1.0097212032281732e-05, 'epoch': 1.82}
{'loss': 4.6704, 'grad_norm': 27.84247398376465, 'learning_rate': 9.913793103448277e-06, 'epoch': 1.82}
{'loss': 4.031, 'grad_norm': 59.68666076660156, 'learning_rate': 9.73037417461482e-06, 'epoch': 1.83}
{'loss': 4.5247, 'grad_norm': 53.734169006347656, 'learning_rate': 9.546955245781365e-06, 'epoch': 1.84}
{'loss': 4.2198, 'grad_norm': 35.19276809692383, 'learning_rate': 9.36353631694791e-06, 'epoch': 1.85}
{'loss': 4.516, 'grad_norm': 28.153112411499023, 'learning_rate': 9.180117388114454e-06, 'epoch': 1.86}
{'loss': 4.924, 'grad_norm': 48.817630767822266, 'learning_rate': 8.996698459281e-06, 'epoch': 1.86}
{'loss': 3.9982, 'grad_norm': 40.13550567626953, 'learning_rate': 8.813279530447543e-06, 'epoch': 1.87}
{'loss': 4.8575, 'grad_norm': 25.943721771240234, 'learning_rate': 8.629860601614088e-06, 'epoch': 1.88}
{'loss': 4.2281, 'grad_norm': 44.25536346435547, 'learning_rate': 8.446441672780631e-06, 'epoch': 1.89}
{'loss': 4.3488, 'grad_norm': 40.17276382446289, 'learning_rate': 8.263022743947176e-06, 'epoch': 1.89}
{'loss': 4.6823, 'grad_norm': 63.47554397583008, 'learning_rate': 8.07960381511372e-06, 'epoch': 1.9}
{'loss': 4.2799, 'grad_norm': 34.172523498535156, 'learning_rate': 7.896184886280263e-06, 'epoch': 1.91}
{'loss': 4.6277, 'grad_norm': 28.302093505859375, 'learning_rate': 7.712765957446808e-06, 'epoch': 1.92}
{'loss': 4.5768, 'grad_norm': 50.81379318237305, 'learning_rate': 7.5293470286133535e-06, 'epoch': 1.93}
